state,switch,mode,margin,n,level,stat,p,pm
MT,switch,crop discontinuation,producer's accuracy,59264,state,median,0.8017413492289368,0.8349588772810482
MT,switch,crop introduction,user's accuracy,112448,state,median,0.868883044198131,0.8349588772810482
MT,switch,crop introduction,producer's accuracy,112448,state,median,0.8259282200641079,0.8349588772810482
MT,no switch,crop discontinuation,user's accuracy,544408,state,median,0.8702511324653035,0.8349588772810482
MT,no switch,crop discontinuation,producer's accuracy,544408,state,median,0.8764371678152992,0.8349588772810482
MT,no switch,crop introduction,user's accuracy,491224,state,median,0.8598969534422378,0.8349588772810482
MT,no switch,crop introduction,producer's accuracy,491224,state,median,0.8885783707633172,0.8349588772810482
MT,overall,crop discontinuation,user's accuracy,603672,state,median,0.865457523384306,0.8349588772810482
MT,overall,crop discontinuation,producer's accuracy,603672,state,median,0.8639064080345733,0.8349588772810482
MT,overall,crop introduction,user's accuracy,603672,state,median,0.8416675448803377,0.8349588772810482
MT,overall,crop introduction,producer's accuracy,603672,state,median,0.8628510304752517,0.8349588772810482
MD,switch,crop discontinuation,user's accuracy,6701,state,mean,0.7704868194850203,0.8367625709337825
MD,switch,crop discontinuation,producer's accuracy,6701,state,mean,0.6522103283657648,0.8367625709337825
MD,switch,crop introduction,user's accuracy,4900,state,mean,0.7554963566572506,0.8367625709337825
MD,switch,crop introduction,producer's accuracy,4900,state,mean,0.6397739359908386,0.8367625709337825
MD,no switch,crop discontinuation,user's accuracy,45907,state,mean,0.9037409378614869,0.8367625709337825
MD,no switch,crop discontinuation,producer's accuracy,45907,state,mean,0.9118324900950022,0.8367625709337825
MD,no switch,crop introduction,user's accuracy,47708,state,mean,0.911831687842892,0.8367625709337825
MD,no switch,crop introduction,producer's accuracy,47708,state,mean,0.9152595614870151,0.8367625709337825
MD,overall,crop discontinuation,user's accuracy,52608,state,mean,0.8178604595696122,0.8367625709337825
MD,overall,crop discontinuation,producer's accuracy,52608,state,mean,0.8399869356830194,0.8367625709337825
MD,overall,crop introduction,user's accuracy,52608,state,mean,0.8496756009730112,0.8367625709337825
